"Площадь, м²",Комнаты,Местоположение,Состояние,Тип дома,Этаж,Год постройки,Потолки,Цена
38.0,1.0,1,4,2,11,2019.0,2.86,27999999
60.4,2.0,1,0,2,30,2024.0,3.0,18724000
40.0,1.0,1,2,2,26,2014.0,2.9,19000000
67.0,2.0,1,4,2,0,2018.0,2.86,34000000
46.0,2.0,1,4,2,26,2011.0,2.86,25700000
41.0,1.0,1,2,2,11,2017.0,2.86,24300000
41.0,1.0,1,4,2,27,2017.0,2.86,28000000
63.0,2.0,1,2,2,19,2019.0,2.86,28500000
43.8,1.0,1,4,2,0,2015.0,2.86,20500000
55.0,2.0,1,5,2,23,2023.0,2.86,25440000
45.1,2.0,1,4,2,28,2021.0,2.86,28000000
44.0,1.0,1,0,2,30,2016.0,2.86,16000000
52.0,2.0,1,4,2,11,1989.0,2.86,24000000
58.9,2.0,1,0,2,30,2023.0,3.0,20615000
42.0,1.0,1,0,2,30,2023.0,3.0,14700000
41.16,1.0,1,5,3,11,2023.0,2.86,20015920
33.5,1.0,1,0,2,30,2024.0,2.7,11390000
64.0,2.0,1,4,2,29,2013.0,2.86,28000000
47.11,1.0,1,0,2,30,2023.0,2.6,18844000
72.0,2.0,1,0,2,30,2024.0,3.0,22320000
33.5,1.0,1,0,2,30,2024.0,2.7,11390000
64.0,2.0,1,4,2,29,2013.0,2.86,28000000
47.11,1.0,1,0,2,30,2023.0,2.6,18844000
72.0,2.0,1,0,2,30,2024.0,3.0,22320000
57.1,2.0,1,4,2,0,2021.0,2.86,33000000
62.0,2.0,1,4,2,26,2010.0,2.86,40000000
66.8,2.0,1,2,2,29,2014.0,2.86,34500000
72.51,2.0,1,5,2,0,2023.0,2.8,33000000
94.0,3.0,1,2,2,0,2011.0,2.86,42500000
70.0,2.0,1,4,2,3,2018.0,2.86,37500000
72.0,3.0,1,4,2,28,2021.0,2.86,41000000
65.0,2.0,1,4,2,29,2019.0,2.86,24000000
26.1,1.0,1,4,2,19,2022.0,2.86,16500000
68.0,2.0,1,4,2,27,2010.0,2.86,38000000
75.8,3.0,1,0,2,30,2024.0,3.0,25014000
69.5,2.0,1,0,2,30,2023.0,3.0,23630000
45.4,1.0,1,0,2,30,2023.0,3.0,15890000
50.5,1.0,1,4,2,1,2011.0,2.86,29000000
65.0,2.0,1,4,2,27,2015.0,2.86,28500000
55.0,2.0,1,4,2,28,2019.0,2.86,35000000
45.0,1.0,1,4,2,0,2019.0,2.86,26000000
55.5,2.0,1,5,2,19,2024.0,2.86,35000000
45.1,1.0,1,4,2,0,2020.0,2.86,25500000
63.5,3.0,1,4,1,11,1992.0,2.86,27000000
59.6,2.0,1,0,2,26,2023.0,2.86,26300000
54.7,2.0,1,0,2,27,2017.0,2.86,33000000
76.0,3.0,1,4,2,23,2015.0,2.86,33000000
82.8,3.0,1,0,2,30,2023.0,3.0,28186000
34.2,1.0,1,0,2,30,2023.0,3.0,16587000
66.0,3.0,1,4,2,29,2016.0,2.86,42500000
63.0,2.0,1,4,2,19,2010.0,2.86,33700000
57.9,2.0,1,4,2,1,2019.0,2.86,38000000
38.0,1.0,1,0,2,28,2019.0,2.86,23500000
55.0,2.0,1,4,2,0,2022.0,2.86,31500000
53.4,2.0,1,2,2,2,2015.0,2.86,24500000
56.7,2.0,1,4,2,23,2017.0,2.86,35000000
44.0,1.0,1,1,2,29,2017.0,3.0,25000000
39.3,1.0,1,0,2,24,2014.0,2.86,21500000
55.0,2.0,1,4,2,19,2022.0,2.86,39000000
40.3,1.0,1,5,2,19,2023.0,2.86,17440000
111.6,3.0,1,0,2,30,2023.0,3.0,40216000
36.98,1.0,1,0,2,30,2023.0,3.0,17935300
75.0,3.0,1,4,2,11,2014.0,2.86,36000000
46.74,2.0,1,4,2,24,2023.0,2.86,27900000
66.6,2.0,1,5,2,26,2023.0,2.86,27999990
56.0,2.0,1,0,2,3,2021.0,2.86,40000000
46.74,1.0,1,0,2,30,2023.0,2.6,19630800
39.0,2.0,1,0,1,11,1970.0,2.86,17500000
70.8,3.0,1,4,2,3,2021.0,2.86,42500000
42.0,1.0,1,0,2,19,2023.0,3.0,20500000
28.3,1.0,1,0,2,30,2023.0,3.0,10188000
39.01,1.0,1,0,2,30,2023.0,3.0,18139650
49.0,2.0,1,0,2,26,2023.0,2.75,26000000
58.7,2.0,1,4,2,24,2022.0,2.86,37500000
68.0,2.0,1,4,2,27,2012.0,2.86,29500000
40.0,1.0,1,4,2,23,2017.0,2.86,20500000
74.4,3.0,1,4,1,23,1989.0,2.86,41000000
30.6,1.0,1,0,2,30,2023.0,3.0,11016000
46.58,1.0,1,0,2,30,2022.0,3.0,20262300
67.0,2.0,1,4,0,0,2011.0,2.86,36000000
58.0,2.0,1,0,2,28,2018.0,2.86,35000000
63.0,2.0,1,3,2,27,2010.0,2.86,35000000
68.9,2.0,1,0,2,3,2018.0,2.86,36500000
54.0,1.0,1,0,2,27,2023.0,2.86,20500000
46.4,1.0,1,0,2,0,2015.0,2.86,23800000
147.0,3.0,1,4,2,29,2012.0,2.86,58000000
33.0,1.0,1,2,2,0,2015.0,2.86,16500000
38.0,1.0,1,4,2,26,2019.0,2.86,22700000
60.0,3.0,1,2,2,24,2018.0,2.86,22400000
93.0,4.0,1,4,2,0,1993.0,2.86,43000000
67.0,2.0,1,5,2,0,2023.0,2.86,29000000
58.5,2.0,1,4,2,28,2020.0,2.86,34500000
29.0,1.0,1,0,2,30,2023.0,3.0,11020000
69.5,2.0,1,0,2,30,2022.0,3.0,23630000
63.0,2.0,1,0,2,27,2010.0,2.7,38000000
36.3,1.0,1,4,2,3,2019.0,2.86,24500000
42.92,1.0,1,0,2,26,2023.0,2.8,19200000
26.0,1.0,1,1,2,24,2023.0,2.86,10800000
60.0,2.0,1,4,2,3,2020.0,2.86,32000000
40.0,1.0,1,4,2,19,2017.0,2.86,23500000
68.0,2.0,1,4,2,23,2013.0,2.86,35000000
33.3,1.0,1,0,2,30,2023.0,3.0,11322000
59.93,2.0,1,0,2,30,2022.0,3.0,25470250
38.5,1.0,1,0,2,30,2024.0,2.7,13090000
68.0,2.0,1,4,2,29,2018.0,2.86,36000000
51.26,2.0,1,0,2,30,2023.0,2.6,21529200
72.5,2.0,1,5,2,23,2023.0,2.86,33300000
44.1,1.0,1,4,2,28,2014.0,2.86,25000000
53.0,2.0,1,0,2,27,2022.0,3.0,22500000
88.0,3.0,1,4,2,24,2018.0,2.86,49500000
40.1,1.0,1,0,2,30,2023.0,3.0,14110500
60.7,2.0,1,0,2,30,2022.0,3.0,25797500
42.0,2.0,1,0,2,23,2022.0,2.86,25500000
45.0,2.0,1,4,1,0,1977.0,2.86,21000000
55.0,2.0,1,4,2,3,2022.0,2.86,35000000
58.0,2.0,1,4,2,19,2022.0,2.86,29600000
69.8,2.0,1,4,2,0,2013.0,2.86,35500000
58.5,2.0,1,4,2,1,2017.0,2.86,31000000
58.0,2.0,1,4,2,3,2020.0,2.86,32900000
70.0,2.0,1,4,2,29,2014.0,2.86,35000000
70.0,2.0,1,4,2,29,2014.0,2.86,35000000
36.32,2.0,1,0,2,30,2023.0,3.0,14164800
37.0,1.0,1,4,2,3,2019.0,2.86,21800000
77.0,3.0,1,4,0,0,2018.0,2.86,35000000
54.6,2.0,1,0,2,0,2018.0,2.85,32000000
58.5,2.0,1,4,2,23,2017.0,2.86,33500000
76.0,3.0,1,3,2,19,2016.0,2.86,32500000
50.0,2.0,1,5,2,19,2023.0,2.86,20000000
89.0,3.0,1,4,2,23,2020.0,2.86,42000000
64.0,2.0,1,2,2,0,2014.0,2.86,28500000
42.3,1.0,1,0,2,30,2023.0,3.0,14382000
47.0,1.0,1,4,2,27,2010.0,2.86,23200000
40.0,1.0,1,4,2,11,2014.0,2.86,22900000
40.0,1.0,1,4,2,11,2018.0,2.86,25500000
70.0,2.0,1,4,2,19,2014.0,2.86,32000000
12.0,1.0,1,0,2,11,2017.0,2.6,8500000
37.6,1.0,1,1,2,19,2023.0,2.86,16000000
43.3,1.0,1,0,2,30,2023.0,3.0,14722000
76.53,3.0,1,0,2,30,2023.0,2.6,29846700
30.0,1.0,1,4,2,23,2013.0,2.86,18500000
70.0,2.0,1,4,2,23,2015.0,2.86,38500000
66.0,2.0,1,4,2,3,2015.0,2.86,31000000
51.0,1.0,1,0,2,28,2010.0,2.86,22900000
43.0,1.0,1,5,2,24,2023.0,2.86,18200000
41.3,1.0,1,0,2,30,2023.0,3.0,14868000
37.0,1.0,1,4,2,23,2021.0,2.86,24200000
58.2,2.0,1,4,2,28,2021.0,2.86,38000000
52.0,2.0,1,2,1,24,1990.0,2.86,35000000
50.0,2.0,1,4,2,0,2017.0,2.86,28000000
78.0,3.0,1,0,2,26,2022.0,2.86,37000000
40.3,1.0,1,0,2,0,2022.0,2.86,18500000
59.0,2.0,1,0,2,3,2022.0,2.86,28000000
69.0,2.0,1,4,2,19,2015.0,2.86,27000000
58.5,2.0,1,4,2,19,2021.0,2.86,39500000
94.76,4.0,1,3,2,30,2025.0,2.86,36842688
40.0,1.0,1,3,2,3,2025.0,2.86,19250352
47.8,1.0,1,0,2,30,2023.0,3.0,16252000
40.0,1.0,1,0,2,24,2015.0,2.86,23500000
36.9,1.0,1,3,2,23,2022.0,2.86,18000000
66.0,2.0,1,4,2,29,2010.0,2.86,35500000
54.8,2.0,1,4,2,3,2020.0,2.86,29000000
47.11,2.0,1,0,2,30,2023.0,3.0,16488500
94.12,4.0,1,4,2,30,2024.0,2.86,44050000
48.0,1.0,1,4,2,29,2018.0,2.86,26000000
70.0,2.0,1,4,1,0,2010.0,2.86,36500000
37.0,1.0,1,0,2,19,2014.0,2.86,20500000
59.0,2.0,1,4,2,24,2012.0,2.86,26500000
39.14,1.0,1,0,2,30,2024.0,2.7,13307600
29.56,1.0,1,0,2,30,2023.0,2.6,14188800
36.5,1.0,1,4,2,23,2020.0,2.86,23500000
37.0,1.0,1,4,2,1,2019.0,2.86,26000000
44.2,1.0,1,4,2,19,2015.0,2.86,25000000
40.0,1.0,1,4,2,24,2012.0,2.86,22000000
43.0,1.0,1,4,2,26,2017.0,2.86,29000000
43.0,2.0,1,4,1,0,1967.0,2.86,20000000
71.0,3.0,1,2,2,24,2017.0,2.86,34500000
48.0,2.0,1,4,2,0,1985.0,2.86,26500000
59.0,2.0,1,4,2,24,2020.0,2.86,36500000
71.0,3.0,1,3,2,1,2022.0,2.86,36000000
